week,gross,voids,cashed,taxable_rev,taxable_mobile_rev,taxable_retail_rev,priv_tax,admin_share,state_share,type,week1,total_table,vlt_played,vlt_won,vlt_revenue,tptsnba,gamesnba,tptsncaa,gamesncaa,tptsnfl,tydsnfl,gamesnfl,tgoalsnhl,gamesnhl,gamesmlb,trunsmlb
  9/1/2018,0,0,0,0,0,0,0,0,0,mardigras,21428,338564.18,10561096.6,9634242.539999999,857221.0600000005,0,0,250,4,0,0,0,0,0,95,788
  9/1/2018,0,0,0,0,0,0,0,0,0,greenbrier,21428,84776.5,2061818.27,1960519.01,86254.26000000001,0,0,250,4,0,0,0,0,0,95,788
  9/1/2018,457787.85,-14494.5,-147875.85,295417.5,0,295417.5,29541.75,4431.26,25110.49,charlestown,21428,1054140.25,61149539.62,54830068.07,5656013.549999997,0,0,250,4,0,0,0,0,0,95,788
  9/1/2018,0,0,0,0,0,0,0,0,0,mountaineer,21428,301957.75,19361283.87,17271187.4,1747443.470000003,0,0,250,4,0,0,0,0,0,95,788
  9/1/2018,0,0,0,0,0,0,0,0,0,wheeling,21428,117355.78,21546423.88,19276793.97,1791367.01,0,0,250,4,0,0,0,0,0,95,788
  9/1/2018,457787.85,-14494.5,-147875.85,295417.5,0,295417.5,29541.75,4431.26,25110.49,total,21428,1812017.96,112618343.97,101012291.98,10052045.09,0,0,250,4,0,0,0,0,0,95,788
  9/8/2018,0,0,0,0,0,0,0,0,0,mardigras,21435,300578.74,11523927.17,10437906.49,1004074.68,0,0,4915,81,0,0,0,0,0,91,815
  9/8/2018,1104008.32,-52080,-545985.5,505942.8200000001,0,505942.8200000001,50594.28,7589.14,43005.14,charlestown,21435,1478872.75,58887547.13,52802082.43,5550410.700000003,0,0,4915,81,0,0,0,0,0,91,815
  9/8/2018,1104008.32,-52080,-545985.5,505942.8200000001,0,505942.8200000001,50594.28,7589.14,43005.14,total,21435,2268562.46,114637719.98,102721787.64,10485379.95,0,0,4915,81,0,0,0,0,0,91,815
  9/8/2018,0,0,0,0,0,0,0,0,0,wheeling,21435,135187.72,23284623.49,20849632.72,1977922.379999999,0,0,4915,81,0,0,0,0,0,91,815
  9/8/2018,0,0,0,0,0,0,0,0,0,mountaineer,21435,353923.25,20941622.19,18632166,1952972.190000001,0,0,4915,81,0,0,0,0,0,91,815
  9/8/2018,0,0,0,0,0,0,0,0,0,greenbrier,21435,110671,1355739.65,1196734.02,152203.6299999999,0,0,4915,81,0,0,0,0,0,91,815
 9/15/2018,0,0,0,0,0,0,0,0,0,wheeling,21442,69522.13,19011214.33,17142942.81,1405755.49,0,0,4493,81,30,531,1,0,0,93,869
 9/15/2018,1713844.75,-70433.25,-1284599.55,358811.95,0,358811.95,35881.2,5382.18,30499.02,charlestown,21442,1236154.5,53430994.6,47907036.86,5054095.740000002,0,0,4493,81,30,531,1,0,0,93,869
 9/15/2018,87763.3,-1990,-55111.25,30662.05,0,30662.05,3066.21,459.93,2606.28,greenbrier,21442,149994.25,1531591.41,1427409.51,91562.89999999991,0,0,4493,81,30,531,1,0,0,93,869
 9/15/2018,0,0,0,0,0,0,0,0,0,mardigras,21442,298642.62,10981841.52,10003109.66,898566.8599999994,0,0,4493,81,30,531,1,0,0,93,869
 9/15/2018,1801608.05,-72423.25,-1339710.8,389473.9999999999,0,389473.9999999999,38947.41,5842.110000000001,33105.3,total,21442,1868093,100613755.31,90310592.11,8967046.170000002,0,0,4493,81,30,531,1,0,0,93,869
 9/15/2018,0,0,0,0,0,0,0,0,0,mountaineer,21442,263773.75,17189704.86,15257502.78,1608628.08,0,0,4493,81,30,531,1,0,0,93,869
 9/22/2018,0,0,0,0,0,0,0,0,0,wheeling,21449,152456.6,21176026.95,18881664.55,1820316.519999999,0,0,4014,66,792,11482,16,0,0,93,787
 9/22/2018,0,0,0,0,0,0,0,0,0,mountaineer,21449,287915.5,20161699.3,18006521.47,1792083.830000002,0,0,4014,66,792,11482,16,0,0,93,787
 9/22/2018,0,0,0,0,0,0,0,0,0,mardigras,21449,287999.94,11041514.99,10069604.78,899384.2100000009,0,0,4014,66,792,11482,16,0,0,93,787
 9/22/2018,1904569.6,-46866.6,-1345398.61,512304.3899999997,0,512304.3899999997,51230.44,7684.57,43545.87,total,21449,1961646.79,105734785.39,94680495.52,9608685.990000002,0,0,4014,66,792,11482,16,0,0,93,787
 9/22/2018,1829347.15,-45795.6,-1274665.6,508885.9499999997,0,508885.9499999997,50888.6,7633.29,43255.31,charlestown,21449,1233274.75,53355544.15,47722704.72,5096901.43,0,0,4014,66,792,11482,16,0,0,93,787
 9/22/2018,75222.45,-1071,-70733.00999999999,3418.440000000002,0,3418.440000000002,341.84,51.28,290.56,greenbrier,21449,150907,2428172.07,2274941.09,134655.98,0,0,4014,66,792,11482,16,0,0,93,787
 9/29/2018,0,0,0,0,0,0,0,0,0,mardigras,21456,251663.38,10996801.95,9927558.16,1013308.789999999,0,0,3613,62,722,11255,16,0,0,94,840
 9/29/2018,1875615.1,-52311.07,-1417514.2,405789.8300000001,0,405789.8300000001,40578.98,6086.85,34492.13,charlestown,21456,1100116,55180908.1,49468798.13,5213742.969999999,0,0,3613,62,722,11255,16,0,0,94,840
 9/29/2018,178666,-1495,-156864.25,20306.75,0,20306.75,2030.68,304.6,1726.08,greenbrier,21456,276283.5,2578460.18,2366801.21,180583.9700000002,0,0,3613,62,722,11255,16,0,0,94,840
 9/29/2018,0,0,0,0,0,0,0,0,0,wheeling,21456,106749.25,23530933.87,21158517.94,1789380.85,0,0,3613,62,722,11255,16,0,0,94,840
 9/29/2018,0,0,0,0,0,0,0,0,0,mountaineer,21456,217536.5,17812711.57,15907698.46,1588022.109999999,0,0,3613,62,722,11255,16,0,0,94,840
 9/29/2018,2054281.1,-53806.07,-1574378.45,426096.5800000001,0,426096.5800000001,42609.66,6391.450000000001,36218.21,total,21456,1676065.13,107521355.49,96462572.69,9604454.719999997,0,0,3613,62,722,11255,16,0,0,94,840
 10/6/2018,2110500.3,-46745.8,-1839869.5,223884.9999999998,0,223884.9999999998,22388.5,3358.28,19030.22,charlestown,21463,1029356.25,54722671.73,49401995.44,4861728.289999999,0,0,3409,58,754,11620,16,0,0,96,872
 10/6/2018,0,0,0,0,0,0,0,0,0,mardigras,21463,199810.1,10869022.44,9893525.560000001,910223.879999999,0,0,3409,58,754,11620,16,0,0,96,872
 10/6/2018,2215942.1,-48745.8,-1922001.25,245195.0499999998,0,245195.0499999998,24519.51,3677.93,20841.58,total,21463,1603142.62,105122616.18,94397528.75999999,9448051.93,0,0,3409,58,754,11620,16,0,0,96,872
 10/6/2018,0,0,0,0,0,0,0,0,0,mountaineer,21463,206079,18844887.01,16776729.62,1731915.390000003,0,0,3409,58,754,11620,16,0,0,96,872
 10/6/2018,0,0,0,0,0,0,0,0,0,wheeling,21463,167897.27,20686035,18325278.14,1944184.369999999,0,0,3409,58,754,11620,16,0,0,96,872
 10/6/2018,105441.8,-2000,-82131.75,21310.05,0,21310.05,2131.01,319.65,1811.36,greenbrier,21463,28486.5,1709638.4,1684156.78,9126.619999999879,0,0,3409,58,754,11620,16,0,0,96,872
10/13/2018,0,0,0,0,0,0,0,0,0,wheeling,21470,164974.82,22091684.84,19827712.9,1855124.140000001,0,0,3464,56,794,11644,15,165,28,17,141
10/13/2018,0,0,0,0,0,0,0,0,0,mountaineer,21470,197452.5,19376217.46,17259612.19,1767723.27,0,0,3464,56,794,11644,15,165,28,17,141
